ISO,Country,continent,year,BCA,BCA_NGDPD,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,GGX_NGDP,LE,LP,LUR,NGAP_NPGDP,NGDP,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDPRPPPPC,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TMG_RPCH,TM_RPCH,TXG_RPCH,TX_RPCH
DNK,Denmark,Europe,2024,37.292,9.045,1408.59,49.561,33.256,1.178,1357.61,50.97,1.793,32.497,1.143,800.989,28.183,-2.017,-0.071,47.768,2.927,5.952,2.9,0.706,2842.1,412.293,69273.05,477526.37,445353.98,73440.06,107.224,2842.1,2650.62,1.943,30.976,21.931,119.759,120.816,2.3,1.8,5.722,496.696,83454.42,0.255,3.42,3.42,7.98,6.9
DOM,Dominican Republic,Americas,2022,-6.549,-5.751,955.7,15.265,-261.75,-4.148,1159.0,-203.299,-3.247,-24.997,-0.399,3727.99,59.547,2916.45,46.584,18.513,,10.622,5.293,,6260.56,113.873,10720.52,589399.41,271552.23,24061.73,217.048,6260.56,2884.41,4.858,27.525,33.276,118.666,122.128,7.827,8.812,22.865,273.804,25777.18,0.159,15.49,17.3,4.747,15.803
DOM,Dominican Republic,Americas,2023,-4.376,-3.593,1071.87,15.717,-349.637,-5.04,1293.78,-221.91,-3.254,-8.195,-0.12,4093.3,60.019,3195.73,46.858,18.97,,10.709,5.305,,6820.02,121.785,11372.13,636846.36,275701.48,24429.39,230.991,6820.02,2952.5,2.361,27.744,31.337,124.345,126.487,3.569,4.786,23.489,290.353,27112.85,0.158,-4.169,-4.477,-7.099,1.695
DOM,Dominican Republic,Americas,2024,-4.251,-3.368,1216.82,16.327,-417.333,-5.554,1444.44,-227.617,-3.054,29.175,0.391,4408.49,59.151,3478.92,46.678,19.381,,10.797,6.0,,7452.95,126.238,11692.09,690287.9,287509.76,25475.7,240.092,7452.95,3104.21,5.138,26.949,30.317,128.56,131.195,3.723,3.39,23.844,312.565,28949.59,0.161,1.06,1.332,1.464,5.373
DZA,Algeria,Africa,2022,19.064,8.449,9524.14,29.737,,,10473.07,-948.932,-2.963,-583.516,-1.822,15400.85,48.085,11406.81,35.615,32.699,,45.291,,,32028.42,225.631,4981.82,707171.99,185031.44,14848.17,382.19,32028.42,8380.23,3.616,44.429,35.979,247.425,255.17,9.295,9.267,44.457,720.43,15906.75,0.418,-6.467,-5.022,1.37,1.37
DZA,Algeria,Africa,2023,5.978,2.49,10718.1,32.888,,,12404.05,-1685.96,-5.173,-1266.52,-3.886,15844.65,48.619,10793.71,33.12,38.061,,45.973,,,32589.58,240.064,5221.81,708879.32,189758.07,15227.46,373.57,32589.58,8723.82,4.1,41.112,38.622,270.486,275.17,7.838,9.32,41.945,776.956,16900.14,0.422,13.247,13.17,1.833,1.833
DZA,Algeria,Africa,2024,3.341,1.284,10383.84,29.2,,,13684.22,-3300.38,-9.281,-2697.83,-7.586,16241.09,45.67,15315.23,43.067,38.48,,46.626,,,35561.64,260.134,5579.13,762696.45,194302.36,15592.13,392.531,35561.64,9059.58,3.849,37.583,36.299,284.701,291.534,5.947,5.256,43.046,826.136,17718.29,0.425,9.23,9.036,2.194,2.194
ECU,Ecuador,Americas,2022,2.133,1.83,45.172,38.745,-1.108,-0.948,45.12,0.052,0.045,0.551,0.473,66.431,56.98,,,38.701,,17.715,3.19,,116.586,116.586,6581.1,6581.1,6431.4,14350.64,102.328,116.586,113.934,6.186,24.123,22.294,108.917,110.227,3.737,3.466,0.428,272.351,15373.75,0.158,6.984,9.425,2.81,4.606
ECU,Ecuador,Americas,2023,2.291,1.928,43.574,36.665,-4.188,-3.493,47.796,-4.223,-3.553,-3.173,-2.669,65.778,55.348,,,40.217,,17.835,3.38,,118.845,118.845,6663.64,6663.64,6538.76,14590.18,101.91,118.845,116.618,2.355,23.377,21.449,111.331,111.715,1.35,2.216,0.412,288.797,16192.85,0.157,3.942,1.863,5.893,5.909
ECU,Ecuador,Americas,2024,3.349,2.758,46.859,38.591,-2.608,-2.142,49.283,-2.424,-1.996,-1.102,-0.908,68.58,56.48,,,40.588,,17.967,4.2,,121.425,121.425,6758.37,6758.37,6513.45,14533.71,103.76,121.425,117.024,0.349,24.276,21.518,113.416,114.841,2.798,1.873,0.409,296.728,16515.54,0.153,0.045,-0.815,6.664,5.0
EGY,Egypt,Africa,2022,-16.551,-3.483,1483.98,18.922,-477.399,-6.087,1937.17,-453.189,-5.779,33.624,0.429,6943.24,88.534,6576.18,83.853,24.701,,103.6,7.323,,7842.5,475.231,4587.17,75699.81,75699.81,17795.38,100.0,7842.5,7842.5,6.653,13.536,17.019,119.836,127.858,13.154,8.5,3.971,1975.04,19064.08,1.146,1.905,6.408,20.66,30.839
EGY,Egypt,Africa,2023,-4.711,-1.196,1723.72,16.973,-580.19,-5.713,2309.5,-585.785,-5.768,106.749,1.051,9742.12,95.93,9266.81,91.249,22.741,,105.2,7.185,,10155.5,393.828,3743.61,96535.17,77350.76,18183.48,124.802,10155.5,8137.3,3.759,11.682,12.878,149.067,173.538,35.727,24.392,4.784,2123.03,20180.86,1.152,-17.143,-17.552,-9.679,2.223
EGY,Egypt,Africa,2024,-24.928,-6.559,2301.23,16.638,-914.282,-6.61,3703.96,-1402.73,-10.142,279.245,2.019,12566.69,90.857,11919.33,86.176,26.779,,107.304,7.23,,13831.36,380.044,3541.75,128898.79,77860.07,18303.21,165.552,13831.36,8354.7,2.672,4.231,10.79,198.708,221.249,27.493,33.302,6.197,2231.82,20799.05,1.147,9.211,9.736,-15.94,-6.525
ESP,Spain,Europe,2022,5.072,0.35,574.095,41.794,-60.705,-4.403,637.831,-63.736,-4.64,-34.886,-2.54,1502.8,109.404,1241.53,90.383,46.434,20.548,47.615,13.035,-0.37,1373.63,1447.64,30402.92,28848.64,26864.31,46620.86,107.386,1373.63,1279.15,6.182,23.005,22.655,115.947,117.22,5.48,8.323,0.578,2378.12,49944.64,1.38,5.775,7.742,3.528,14.313
ESP,Spain,Europe,2023,43.022,2.655,625.661,41.757,-54.797,-3.664,678.82,-53.159,-3.548,-25.76,-1.719,1573.75,105.034,1309.06,87.368,45.305,21.182,47.81,12.185,0.183,1498.32,1620.56,33895.59,31338.95,27469.68,47671.42,114.086,1498.32,1313.33,2.673,23.659,21.005,119.889,121.06,3.276,3.4,0.592,2529.54,52907.92,1.373,-0.225,0.283,-1.023,2.782
ESP,Spain,Europe,2024,58.183,3.36,665.185,41.862,-53.268,-3.375,712.122,-46.936,-2.954,-9.796,-0.617,1625.69,102.31,1355.99,85.337,44.816,21.637,48.38,11.619,0.667,1588.99,1731.47,35788.73,32843.69,27934.8,48478.62,117.573,1588.99,1351.49,2.906,23.787,20.427,123.189,123.344,1.886,2.752,0.596,2665.23,55089.21,1.37,-0.769,1.404,0.347,3.703
EST,Estonia,Europe,2022,-1.496,-3.895,13.975,38.354,-0.662,-1.859,14.324,-0.349,-0.957,-0.338,-0.927,6.657,18.271,1.424,3.908,39.311,0.681,1.349,5.571,2.304,36.437,38.401,28469.35,27013.92,22141.08,44484.35,122.008,36.437,29.865,0.063,25.035,28.93,137.032,144.3,17.499,19.447,0.567,64.28,47655.81,0.037,6.073,5.042,1.082,5.042
EST,Estonia,Europe,2023,-0.718,-1.738,15.138,39.648,-1.163,-3.005,16.457,-1.319,-3.454,-1.259,-3.298,7.375,19.314,2.493,6.529,43.102,0.7,1.37,6.376,-1.334,38.182,41.297,30137.64,27864.45,21135.25,42463.51,131.839,38.182,28.961,-3.025,25.939,27.677,149.523,150.45,4.262,9.116,0.591,64.579,47127.95,0.035,-10.639,-6.704,-13.399,-8.976
EST,Estonia,Europe,2024,-1.464,-3.401,16.586,41.988,-0.832,-2.05,17.761,-1.175,-2.975,-1.003,-2.538,8.616,21.811,3.734,9.453,44.963,0.703,1.365,7.516,-2.626,39.502,43.044,31530.97,28936.3,21027.58,42247.18,137.611,39.502,28.705,-0.884,23.103,26.504,154.621,154.227,2.511,3.409,0.603,65.537,48008.04,0.034,-0.834,0.703,-3.696,-1.194
ETH,Ethiopia,Africa,2022,-5.134,-4.315,525.736,8.538,,,781.789,-256.054,-4.158,-217.541,-3.533,2889.31,46.923,2736.83,44.447,12.696,,104.082,,,6157.54,118.968,1143.02,59160.45,21604.72,3230.97,273.831,6157.54,2248.66,6.362,21.271,25.34,298.243,328.887,33.806,33.938,17.092,360.261,3461.32,0.209,8.737,7.269,2.485,10.968
ETH,Ethiopia,Africa,2023,-4.635,-2.902,717.149,8.222,,,943.881,-226.733,-2.599,-172.189,-1.974,3379.1,38.741,3184.21,36.507,10.821,,105.707,,,8722.31,159.747,1511.22,82513.81,22798.07,3409.44,361.933,8722.31,2409.92,7.171,19.34,22.171,388.369,423.354,28.723,30.219,21.806,399.991,3783.95,0.217,-9.247,-5.486,-17.28,-3.176
ETH,Ethiopia,Africa,2024,-4.988,-3.439,899.372,7.721,,,1097.4,-198.029,-1.7,-129.673,-1.113,3908.84,33.556,3701.79,31.778,9.421,,107.399,,,11648.77,145.031,1350.4,108462.99,23803.02,3559.72,455.669,11648.77,2556.41,6.079,17.516,19.913,481.375,530.435,25.294,23.948,26.813,434.441,4045.13,0.223,4.095,5.537,6.854,8.836
FIN,Finland,Europe,2022,-6.883,-2.454,141.99,53.355,-2.217,-0.831,143.363,-1.373,-0.516,-1.508,-0.567,196.781,73.943,87.529,32.89,53.871,2.618,5.548,6.775,-0.244,266.124,280.462,50549.71,47965.47,41839.75,58106.7,114.641,266.124,232.137,1.45,25.075,27.529,113.735,117.06,8.792,7.172,0.771,345.374,62249.36,0.2,5.349,8.355,2.012,4.219
FIN,Finland,Europe,2023,-3.244,-1.097,147.404,53.931,-3.948,-1.413,154.833,-7.429,-2.718,-7.792,-2.851,210.525,77.025,94.549,34.593,56.649,2.626,5.564,7.225,-2.193,273.32,295.618,53130.69,49123.2,41235.84,57268.01,119.127,273.32,229.435,-1.164,21.691,22.788,118.672,118.61,1.324,4.34,0.773,353.638,63558.66,0.192,-11.467,-6.604,2.139,0.157
FIN,Finland,Europe,2024,-3.538,-1.156,149.138,53.094,-4.683,-1.614,159.463,-10.324,-3.676,-10.49,-3.735,228.623,81.391,104.873,37.335,56.769,2.604,5.588,8.325,-3.209,280.895,306.083,54773.99,50266.65,40969.85,56898.59,122.692,280.895,228.944,-0.214,20.532,21.688,120.14,121.102,2.101,1.237,0.777,361.312,64657.34,0.186,-5.0,-3.105,-5.0,-2.455
FJI,Fiji,Oceania,2022,-0.856,-17.229,2.16,21.391,,,3.385,-1.225,-12.135,-0.855,-8.467,9.204,91.167,8.159,80.819,33.526,,0.912,6.5,,10.94,4.97,5450.49,11998.74,11063.74,12869.68,108.451,10.096,10.087,19.793,,18.475,125.491,125.367,3.078,4.32,0.87,12.571,13787.21,0.007,,,,
FJI,Fiji,Oceania,2023,-0.417,-7.654,2.711,23.164,,,3.55,-0.84,-7.174,-0.383,-3.275,9.748,83.302,8.908,76.124,30.338,,0.917,5.5,,12.245,5.442,5933.17,13350.37,11825.25,13755.5,112.897,11.701,10.846,7.524,,18.925,128.377,131.761,5.1,2.3,0.874,14.003,15266.48,0.008,,,,
FJI,Fiji,Oceania,2024,-0.44,-7.627,3.537,27.538,,,4.099,-0.561,-4.37,-0.032,-0.249,10.472,81.521,9.625,74.925,31.908,,0.923,5.0,,13.275,5.773,6256.63,14386.41,12106.23,14082.33,118.835,12.846,11.171,2.99,,19.481,135.053,137.032,4.0,5.2,0.899,14.766,16002.62,0.008,,,,
FRA,France,Europe,2022,-32.78,-1.171,1424.97,53.662,-110.696,-4.132,1550.7,-125.731,-4.735,-75.931,-2.859,2950.0,111.093,2682.7,101.027,58.397,28.338,65.722,7.308,-0.872,2655.44,2798.5,42581.01,40404.15,38651.08,57097.91,104.536,2655.44,2540.22,2.619,24.631,25.803,114.04,117.18,6.809,5.903,0.661,4020.12,61168.64,2.334,6.865,9.057,3.32,8.355
FRA,France,Europe,2023,-30.404,-0.996,1454.55,51.535,-138.24,-4.853,1608.5,-153.952,-5.455,-105.152,-3.726,3101.2,109.876,2870.1,101.688,56.989,28.541,65.926,7.35,-0.906,2822.46,3052.71,46305.16,42812.5,38962.77,57558.35,109.881,2822.46,2568.66,1.12,23.906,24.902,120.498,122.04,4.147,5.662,0.67,4211.41,63880.89,2.286,-1.663,0.717,3.159,2.463
FRA,France,Europe,2024,2.88,0.091,1493.53,51.273,-162.429,-5.541,1667.23,-173.695,-5.963,-121.339,-4.166,3271.76,112.32,3033.25,104.132,57.236,28.541,66.111,7.357,-0.623,2912.9,3174.1,48011.83,44060.95,39280.48,58027.7,112.17,2912.9,2596.86,1.098,22.346,22.255,123.285,123.824,1.462,2.313,0.668,4359.37,65940.41,2.241,-1.167,-1.569,3.001,1.998
FSM,Micronesia,Oceania,2022,0.037,8.508,0.288,67.048,,,0.255,0.034,7.798,0.034,7.938,0.063,14.573,,,59.25,,0.095,,,0.43,0.43,4540.03,4540.03,2693.54,4043.02,168.553,0.43,0.255,-0.864,,,142.271,148.657,6.53,5.02,1.048,0.41,4331.26,,,,,
FSM,Micronesia,Oceania,2023,0.015,3.327,0.274,59.428,,,0.266,0.007,1.571,0.008,1.71,0.057,12.422,,,57.857,,0.095,,,0.46,0.46,4864.7,4864.7,2717.42,4078.86,179.019,0.46,0.257,0.766,,,151.105,155.553,4.639,6.21,1.075,0.428,4526.91,,,,,
FSM,Micronesia,Oceania,2024,0.013,2.671,0.31,64.131,,,0.304,0.006,1.266,0.007,1.392,0.052,10.649,,,62.865,,0.095,,,0.484,0.484,5119.57,5119.57,2749.32,4126.74,186.212,0.484,0.26,1.052,,,157.177,160.2,2.987,4.018,1.092,0.443,4689.47,,,,,
GAB,Gabon,Africa,2022,2.238,10.923,2392.38,18.764,,,2505.79,-113.416,-0.89,214.21,1.68,8362.59,65.589,,,19.653,,2.161,,,12750.05,20.485,9478.24,5899468.95,2729275.28,20989.4,216.155,12750.05,5898.56,3.038,40.866,29.942,147.475,150.798,5.383,4.25,262.364,48.597,22485.81,0.028,-11.774,-11.408,-2.04,-2.04
GAB,Gabon,Africa,2023,1.08,5.382,2471.04,20.312,,,2699.04,-227.999,-1.874,125.002,1.028,8773.14,72.117,,,22.187,,2.209,,,12165.18,20.059,9079.28,5506400.96,2735206.13,21035.01,201.316,12165.18,6042.84,2.446,39.854,34.472,152.834,154.198,2.254,3.634,235.864,51.577,23345.61,0.028,2.637,-2.647,2.008,2.008
GAB,Gabon,Africa,2024,1.059,5.068,2455.55,19.52,,,2944.78,-489.228,-3.889,-100.791,-0.801,9221.93,73.308,,,23.409,,2.258,,,12579.71,20.897,9256.66,5572308.7,2761000.25,21233.37,201.822,12579.71,6233.07,3.148,39.179,34.111,156.028,157.593,2.202,2.09,230.94,54.472,24128.78,0.028,15.741,15.9,4.244,4.244
GBR,United Kingdom,Europe,2022,-65.683,-2.102,994.385,39.359,-77.798,-3.06,1113.2,-118.817,-4.703,-25.355,-1.004,2516.82,99.62,2269.13,89.816,44.062,32.929,67.791,3.875,1.946,2526.43,3125.4,46103.23,37267.66,37267.66,54805.12,100.0,2526.43,2526.43,4.839,16.643,18.744,121.665,127.164,10.528,9.067,0.635,3980.2,58712.39,2.31,8.116,12.983,11.576,12.568
GBR,United Kingdom,Europe,2023,-66.322,-1.961,1039.26,38.208,-130.362,-4.716,1201.48,-162.218,-5.964,-95.882,-3.525,2719.14,99.967,2487.63,91.456,44.172,33.16,68.122,4.025,-0.109,2720.03,3382.12,49647.56,39928.51,37212.64,54724.21,107.298,2720.03,2535.02,0.34,15.779,17.74,130.552,132.242,3.993,7.305,0.657,4137.45,60735.43,2.245,-8.735,-3.388,-9.785,-2.156
GBR,United Kingdom,Europe,2024,-99.99,-2.787,1098.89,39.13,-84.889,-2.996,1218.25,-119.356,-4.25,-57.051,-2.031,2859.34,101.816,2573.4,91.635,43.38,33.143,68.434,4.275,-0.382,2808.33,3587.55,52423.29,41036.97,37444.32,55064.91,109.595,2808.33,2562.47,1.083,14.307,17.095,133.977,135.508,2.47,2.624,0.656,4282.17,62573.61,2.201,-1.08,0.415,-6.018,-0.665
GEO,Georgia,Asia,2022,-1.12,-4.483,19.28,26.462,-0.31,-0.432,21.145,-1.865,-2.56,-1.104,-1.516,28.538,39.169,,,29.022,,3.689,17.3,,72.86,24.985,6773.54,19752.77,15509.48,21102.63,127.359,72.86,57.208,10.96,19.583,24.067,172.336,176.864,9.847,11.898,0.874,83.389,22607.12,0.048,14.154,16.647,14.332,38.554
GEO,Georgia,Asia,2023,-1.326,-4.344,22.125,27.572,0.212,0.268,24.008,-1.883,-2.347,-0.688,-0.858,31.482,39.232,,,29.919,,3.736,16.4,,80.246,30.536,8172.57,21476.84,16455.41,22389.69,130.515,80.246,61.484,7.474,21.6,25.944,176.624,177.637,0.437,2.488,0.864,92.846,24849.11,0.05,7.843,10.54,11.158,12.36
GEO,Georgia,Asia,2024,-1.93,-5.816,25.317,28.192,0.143,0.16,27.564,-2.248,-2.503,-0.688,-0.766,34.274,38.167,,,30.695,,3.737,14.5,,89.8,33.191,8882.64,24032.71,17697.58,24079.82,135.797,89.8,66.128,7.554,18.013,23.828,178.588,179.947,1.3,1.112,0.878,102.245,27363.37,0.053,2.1,4.171,-2.0,2.047
GHA,Ghana,Africa,2022,-1.695,-2.293,96.651,15.733,,,168.897,-72.245,-11.76,-26.558,-4.323,569.409,92.687,,,27.493,,32.082,,,614.336,73.956,2305.23,19148.98,5649.82,6953.13,338.931,614.336,181.257,3.818,13.691,15.522,374.293,469.045,54.145,31.92,2.571,238.973,7448.84,0.139,4.08,8.861,3.796,3.796
GHA,Ghana,Africa,2023,-1.097,-1.435,134.672,16.001,,,164.552,-29.879,-3.55,-2.824,-0.336,698.021,82.936,,,19.551,,32.902,,,841.633,76.402,2322.12,25580.01,5671.23,6979.48,451.048,841.633,186.595,2.945,9.67,10.848,521.144,577.699,23.165,39.234,3.302,254.864,7746.15,0.138,-3.365,-0.921,-6.056,-6.056
GHA,Ghana,Africa,2024,-1.865,-2.477,172.549,16.914,,,220.712,-48.163,-4.721,5.101,0.5,841.799,82.515,,,21.635,,33.743,,,1020.18,75.307,2231.79,30233.83,5702.64,7018.13,530.173,1020.18,192.424,3.124,10.254,12.433,622.897,664.267,14.985,19.525,3.791,269.105,7975.13,0.138,6.898,3.561,1.837,1.837
GIN,Guinea,Africa,2022,-1.689,-8.621,23307.76,13.685,,,24754.66,-1446.9,-0.85,140.324,0.082,68428.58,40.178,,,14.535,,14.674,,,170313.0,19.589,1334.94,11606095.21,5283607.16,3631.95,219.662,170313.0,77534.0,3.972,8.743,17.365,2556.89,2605.77,8.613,10.499,2982.89,57.097,3890.88,0.033,-17.551,-15.209,-4.316,-3.284
GIN,Guinea,Africa,2023,-2.02,-8.781,27792.07,14.195,,,31267.33,-3475.26,-1.775,-2328.26,-1.189,79790.47,40.753,,,15.97,,15.041,,,195788.52,23.005,1529.46,13016723.65,5448542.93,3745.33,238.903,195788.52,81953.2,5.7,6.921,15.702,2756.33,2847.2,9.265,7.8,3131.48,62.523,4156.73,0.034,3.471,3.081,10.215,9.508
GIN,Guinea,Africa,2024,-2.431,-9.542,31088.09,13.747,,,37872.36,-6784.27,-3.0,-4327.88,-1.914,85550.49,37.83,,,16.747,,15.417,,,226142.66,25.474,1652.31,14668074.13,5532191.59,3802.83,265.14,226142.66,85291.67,4.074,5.042,14.583,3060.45,3174.63,11.5,11.034,3394.3,66.624,4321.38,0.034,12.899,12.993,13.542,13.515
GMB,The Gambia,Africa,2022,-0.09,-4.168,21.292,17.372,-5.95,-4.829,27.354,-6.062,-4.946,-3.446,-2.811,101.552,82.856,,,22.318,,2.567,,,122.564,2.161,841.947,47746.79,26727.38,2924.33,178.644,122.564,68.608,4.905,18.095,22.253,654.28,687.795,13.739,11.513,15.241,8.042,3132.81,0.005,5.261,11.304,61.229,89.423
GMB,The Gambia,Africa,2023,-0.204,-8.643,29.513,19.98,-5.29,-3.567,34.925,-5.412,-3.664,-2.389,-1.617,111.122,75.228,,,23.644,,2.644,,,147.714,2.361,892.989,55865.41,27326.79,2989.91,204.435,147.714,72.255,5.315,16.147,24.775,765.286,806.784,17.3,16.966,16.835,8.774,3318.34,0.005,5.613,24.326,88.789,24.176
GMB,The Gambia,Africa,2024,-0.119,-4.427,34.939,20.075,-4.893,-2.824,39.69,-4.751,-2.73,0.364,0.209,115.767,66.516,,,22.804,,2.724,,,174.043,2.693,988.881,63903.0,28079.62,3072.28,227.578,174.043,76.476,5.843,19.192,23.628,875.487,899.564,11.5,14.4,18.304,9.509,3491.22,0.005,5.536,-1.934,23.083,26.769
GNB,Guinea-Bissau,Africa,2022,-0.149,-8.631,163.044,15.219,,,227.928,-64.883,-6.056,-50.331,-4.698,866.018,80.837,,,21.275,,1.896,,,1071.32,1.721,907.623,564924.86,484685.31,2584.44,116.555,1071.32,919.15,4.6,9.429,18.06,118.417,123.9,9.452,7.917,204.041,5.25,2768.69,0.003,-1.353,-2.61,-21.321,-19.104
GNB,Guinea-Bissau,Africa,2023,-0.174,-8.655,167.078,13.739,,,266.213,-99.134,-8.152,-67.195,-5.526,965.202,79.371,,,21.891,,1.937,,,1216.06,2.005,1035.29,627885.28,499261.45,2662.16,125.763,1216.06,966.946,5.2,8.559,17.215,126.9,127.7,3.067,7.164,212.512,5.722,2954.58,0.003,2.167,3.152,10.382,15.787
GNB,Guinea-Bissau,Africa,2024,-0.134,-6.117,209.663,15.789,,,259.99,-50.328,-3.79,-15.486,-1.166,1023.0,77.036,,,19.579,,1.978,,,1327.94,2.188,1106.24,671353.66,513293.49,2736.98,130.793,1327.94,1015.29,5.0,11.6,17.717,132.262,135.413,6.04,4.226,215.856,6.152,3110.2,0.003,-2.807,-1.607,10.006,12.022
GNQ,Equatorial Guinea,Africa,2022,0.287,2.126,2259.85,26.863,,,1263.79,996.063,11.84,1083.17,12.876,2540.76,30.202,973.95,11.577,15.023,,1.498,,,8412.52,13.516,9020.81,5614755.34,3381739.66,20479.87,166.032,8412.52,5066.82,3.716,3.317,1.191,151.999,152.195,5.02,4.869,255.915,32.872,21939.96,0.019,-2.745,-6.867,10.738,6.683
GNQ,Equatorial Guinea,Africa,2023,-0.093,-0.777,1618.6,22.286,,,1440.0,178.6,2.459,260.028,3.58,2714.03,37.369,1315.35,18.111,19.827,,1.544,,,7262.79,11.975,7755.01,4703259.44,3076170.31,18629.34,152.893,7262.79,4750.23,-6.248,4.345,5.122,155.815,158.1,3.88,2.51,227.478,31.927,20675.69,0.017,-3.544,-14.045,-31.396,-29.991
GNQ,Equatorial Guinea,Africa,2024,-0.054,-0.418,1688.2,21.558,,,1453.82,234.386,2.993,307.1,3.922,2747.43,35.083,1518.14,19.386,18.565,,1.59,,,7831.13,12.884,8101.7,4924377.01,3160592.38,19140.6,155.806,7831.13,5026.22,5.81,4.031,4.449,162.047,163.825,3.621,4.0,226.402,34.59,21750.63,0.018,6.555,6.027,15.645,15.51
GRC,Greece,Europe,2022,-23.39,-10.741,104.608,50.628,-4.05,-1.939,109.751,-5.143,-2.489,0.027,0.013,371.066,179.588,,,53.117,4.141,10.46,12.425,-1.093,206.62,217.753,20818.07,19753.8,18227.81,35217.77,108.372,206.62,190.659,5.557,10.375,21.117,131.85,131.235,7.571,9.3,0.524,394.633,37728.59,0.229,3.315,3.365,5.089,8.558
GRC,Greece,Europe,2023,-16.365,-6.868,107.835,48.949,-2.049,-0.933,109.839,-2.004,-0.91,4.096,1.859,372.023,168.869,,,49.858,4.193,10.414,11.075,0.28,220.303,238.275,22880.3,21154.5,18676.24,36084.18,113.27,220.303,194.494,2.011,9.943,16.811,137.328,136.075,3.688,4.155,0.528,417.058,40047.87,0.226,-2.685,-1.7,0.999,3.252
GRC,Greece,Europe,2024,-16.476,-6.519,110.369,47.586,-3.055,-1.327,112.704,-2.335,-1.007,4.784,2.063,368.8,159.01,,,48.593,4.256,10.383,10.52,0.776,231.934,252.732,24341.51,22338.45,19159.52,37017.92,116.592,231.934,198.928,2.28,16.343,22.862,141.322,139.856,2.779,2.909,0.531,436.757,42065.72,0.224,2.534,2.662,-1.213,1.667
GRD,Grenada,Americas,2022,-0.136,-11.022,1.088,32.733,0.059,1.714,1.058,0.031,0.924,0.084,2.539,2.621,78.843,,,31.808,,0.114,,,3.325,1.231,10762.84,29059.65,21084.45,16744.22,137.825,3.325,2.412,7.321,18.06,29.082,115.353,116.614,2.905,2.582,1.62,2.052,17937.98,0.001,13.632,13.632,13.903,245.38
GRD,Grenada,Americas,2023,-0.12,-9.073,1.32,36.906,0.293,8.137,1.034,0.285,7.981,0.339,9.473,2.69,75.221,,,28.925,,0.115,,,3.576,1.324,11515.62,31092.16,21963.66,17442.45,141.562,3.576,2.526,4.716,31.848,40.921,118.48,119.17,2.192,2.711,1.606,2.227,19358.43,0.001,9.463,9.463,-3.8,33.86
GRD,Grenada,Americas,2024,-0.158,-11.314,1.554,41.292,0.074,1.952,1.488,0.065,1.732,0.197,5.236,2.833,75.295,,,39.56,,0.116,,,3.762,1.393,12050.39,32536.06,22500.97,17869.15,144.598,3.762,2.602,3.0,27.047,38.361,121.022,122.476,2.774,2.145,1.602,2.348,20305.81,0.001,15.078,15.078,8.449,9.378
GTM,Guatemala,Americas,2022,1.197,1.252,93.164,12.573,-12.744,-1.679,105.726,-12.562,-1.695,-0.29,-0.039,214.951,29.009,,,14.269,,17.358,,,740.969,95.631,5509.39,42687.72,32825.17,12496.1,130.046,740.969,569.776,4.2,17.834,16.583,92.531,95.99,9.241,6.882,3.189,232.37,13386.99,0.135,4.801,4.801,7.52,7.52
GTM,Guatemala,Americas,2023,3.281,3.142,102.016,12.471,-10.392,-1.268,112.246,-10.231,-1.251,3.116,0.381,222.491,27.198,,,13.721,,17.602,,,818.054,104.436,5933.04,46473.92,33510.73,12757.08,138.684,818.054,589.87,3.527,19.582,16.44,98.276,100.0,4.178,6.209,3.282,249.222,14158.39,0.135,5.905,5.905,-2.522,-2.522
GTM,Guatemala,Americas,2024,2.661,2.368,109.029,12.435,-9.616,-1.088,118.604,-9.574,-1.092,5.009,0.571,234.817,26.782,,,13.527,,17.85,,,876.77,112.369,6295.05,49117.63,34192.11,13016.47,143.652,876.77,610.344,3.471,18.677,16.303,101.776,104.041,4.041,3.562,3.321,264.033,14791.41,0.136,7.636,7.636,2.792,2.792
GUY,Guyana,Americas,2022,3.805,26.19,465.635,15.371,-36.707,-1.212,622.502,-156.867,-5.178,-147.909,-4.883,803.724,26.531,759.237,25.063,20.549,,0.792,,,3029.36,14.529,18353.12,3826626.21,3687051.96,36420.37,103.786,3029.36,2918.87,62.288,36.153,9.963,132.105,136.72,7.24,6.477,98.076,30.888,39016.93,0.018,-6.493,6.68,105.268,100.37
GUY,Guyana,Americas,2023,1.757,10.307,630.698,17.742,-89.327,-2.612,834.728,-204.03,-5.739,-191.69,-5.392,939.592,26.431,864.189,24.31,23.481,,0.794,,,3554.85,17.05,21472.31,4476976.48,4887782.0,48281.08,91.595,3554.85,3881.04,32.964,24.892,14.585,138.075,139.43,1.982,4.519,83.55,42.548,53584.55,0.023,22.151,23.59,38.76,39.992
